# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715583.412142992019653,0.00449,0.00038,0.00232,0.00259,0.00179,0.00087,0.01245
1403715583.462142944335938,0.00466,0.00036,0.00067,0.00335,0.00111,0.00224,0.01239
1403715583.512142896652222,0.00442,0.00035,0.00052,0.00336,0.00243,0.00153,0.01261
1403715583.562143087387085,0.00221,0.00015,0.00088,0.00114,0.00238,0.00085,0.00760
1403715583.612143039703369,0.00492,0.00034,0.00206,0.00298,0.00010,0.00211,0.01252
1403715583.662142992019653,0.00487,0.00032,0.00198,0.00191,0.00508,0.00152,0.01568
1403715583.712142944335938,0.00202,0.00016,0.00062,0.00088,0.00000,0.00097,0.00465
1403715583.762142896652222,0.00391,0.00032,0.00065,0.00144,0.00562,0.00198,0.01392
1403715583.812143087387085,0.00386,0.00034,0.00054,0.00191,0.00192,0.00195,0.01052
1403715583.862143039703369,0.00478,0.00032,0.00173,0.00208,0.00349,0.00171,0.01410
1403715583.912142992019653,0.00347,0.00034,0.00029,0.00244,0.00138,0.00196,0.00988
1403715583.962142944335938,0.00285,0.00033,0.00037,0.00246,0.00001,0.00201,0.00803
1403715584.012142896652222,0.00365,0.00044,0.00076,0.00336,0.00246,0.00214,0.01280
1403715584.062143087387085,0.00351,0.00031,0.00035,0.00299,0.00299,0.00207,0.01223
1403715584.112143039703369,0.00363,0.00032,0.00226,0.00293,0.00000,0.00195,0.01108
1403715584.162142992019653,0.00498,0.00036,0.00044,0.00287,0.00113,0.00196,0.01176
1403715584.212142944335938,0.00400,0.00032,0.00160,0.00293,0.00405,0.00177,0.01467
1403715584.262142896652222,0.00433,0.00033,0.00044,0.00353,0.00121,0.00195,0.01179
1403715584.312143087387085,0.00551,0.00035,0.00306,0.00363,0.00102,0.00212,0.01570
1403715584.362143039703369,0.00436,0.00034,0.00119,0.00350,0.00000,0.00204,0.01143
1403715584.412142992019653,0.00503,0.00034,0.00071,0.00332,0.00048,0.00084,0.01072
1403715584.462142944335938,0.00428,0.00034,0.00095,0.00264,0.00108,0.00089,0.01019
1403715584.512142896652222,0.00464,0.00034,0.00145,0.00297,0.00279,0.00232,0.01451
1403715584.562143087387085,0.00479,0.00034,0.00101,0.00265,0.00070,0.00153,0.01101
1403715584.612143039703369,0.00462,0.00035,0.00288,0.00314,0.00100,0.00248,0.01448
1403715584.662142992019653,0.00485,0.00033,0.00108,0.00318,0.00021,0.00249,0.01214
1403715584.712142944335938,0.00495,0.00033,0.00229,0.00290,0.00117,0.00250,0.01414
1403715584.762142896652222,0.00572,0.00037,0.00152,0.00287,0.00099,0.00265,0.01413
1403715584.812143087387085,0.00400,0.00032,0.00134,0.00286,0.01023,0.00139,0.02015
1403715584.862143039703369,0.00413,0.00035,0.00719,0.00304,0.00197,0.00141,0.01810
1403715584.912142992019653,0.00518,0.00037,0.00635,0.00418,0.00154,0.00154,0.01916
1403715584.962142944335938,0.00387,0.00035,0.00811,0.00411,0.00197,0.00142,0.01983
1403715585.012142896652222,0.00536,0.00060,0.00638,0.00563,0.00138,0.00182,0.02116
1403715585.062143087387085,0.00168,0.00018,0.00246,0.00211,0.00051,0.00111,0.00805
1403715585.112143039703369,0.00533,0.00044,0.00210,0.00486,0.00176,0.00180,0.01628
1403715585.162142992019653,0.00435,0.00039,0.00215,0.00413,0.00226,0.00163,0.01491
1403715585.212142944335938,0.00393,0.00035,0.00411,0.00175,0.00128,0.00096,0.01237
1403715585.262142896652222,0.00391,0.00036,0.00204,0.00545,0.00224,0.00225,0.01623
1403715585.312143087387085,0.00570,0.00038,0.00866,0.00253,0.00085,0.00112,0.01925
1403715585.362143039703369,0.00433,0.00039,0.00018,0.00632,0.00001,0.00227,0.01351
1403715585.412142992019653,0.00416,0.00038,0.00190,0.00556,0.00085,0.00186,0.01472
1403715585.462142944335938,0.00387,0.00037,0.01282,0.00524,0.00000,0.00155,0.02385
1403715585.512142896652222,0.00422,0.00034,0.00444,0.00510,0.00000,0.00157,0.01566
1403715585.562143087387085,0.00400,0.00036,0.00782,0.00612,0.00000,0.00259,0.02090
1403715585.612143039703369,0.00403,0.00036,0.00286,0.00585,0.00000,0.00262,0.01573
