0.2528675199	-0.3854392469	0.3524755836	-0.3150696456
0.3322249055	-0.4711906612	0.4360238910	-0.4119112492
0.9116198421	-0.4435384274	1.0258437395	-0.4056450725
0.9655377269	-0.4471157491	1.0832595825	-0.4097069800
0.6963402033	-0.4313810468	0.8118190765	-0.3907464147
0.7163699865	-0.4925804138	0.8318814039	-0.4488903582
0.1060098261	-0.4779964983	0.2298358679	-0.4102123678
0.0918856636	-0.3881038725	0.2175217122	-0.3168576658
-0.2950848937	-0.3559008539	-0.2071021199	-0.2733703852
-0.3916085958	-0.3678012490	-0.3066407740	-0.2855144441
-0.5895543098	-0.0354632884	-0.1527300924	0.2703337967
-0.3276858330	0.0233929399	0.1885699183	0.3332175910
-0.7231368423	-0.4293833971	-0.6366307139	-0.3311478198
-0.1644313782	-0.0315863714	0.2897095382	0.2077666223
-0.7684772611	-0.4335756600	-0.6831322908	-0.3338289857
-0.5393834710	-0.3962617218	-0.4537078440	-0.3061477542
-0.3795072436	0.0487976037	0.1879401952	0.4031587243
0.1674751639	-0.2759593129	0.3129240572	-0.2012643814
0.1953531951	-0.1779072583	0.3465990424	-0.0981681421
0.5832601190	-0.2015646547	0.6984258890	-0.1527788192
0.4284563363	-0.2377218157	0.5362936258	-0.1820842028
